매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,상장주식수,ROE(%),주당배당금
77,-133,-253,-172.33,-327.34,-813.04,486.02,59.42,23.52,-4109,-1.28,282,18.67,,,-,,,,
55801.0,4278.0,2238.0,7.67,4.01,5.36,33.12,113.73,13322.35,3460.0,57.8,65539.0,3.05,1000.0,0.5,28.71,,,,
29238.0,520.0,258.0,1.78,0.88,4.31,157.16,132.15,2160.62,447.0,23.27,11236.0,0.93,600.0,5.77,121.7,,,,
993,-70,-663,-7.09,-66.75,-39.04,21.16,369.19,91.44,-453,-3.85,950,1.84,-,-,-,,,,
783,-47,-112,-6.02,-14.30,-48.48,281.29,23.91,-40.11,-906,-4.63,1606,2.61,,,-,,,,
782,26,183,3.28,23.42,-4.66,25.05,191.81,301.26,-79,-34.42,1754,1.55,-,-,-,,,,
17012.0,4790.0,3592.0,28.16,21.11,14.72,33.21,287.7,25668.24,16320.0,33.15,121275.0,4.46,5220.0,0.96,30.03,,,,
1312.0,84.0,48.0,6.44,3.62,3.56,23.23,187.18,1352.53,256.0,13.61,7460.0,0.47,100.0,2.87,38.08,,,,
,,,,,,,,,,,,,,,,,,,
1068.0,38.0,23.0,3.54,2.13,2.83,103.05,95.88,308.55,55.0,42.61,2045.0,1.15,50.0,2.12,90.27,,,,
15137.0,66.0,-220.0,0.43,-1.45,-3.26,181.91,90.81,226.89,-572.0,-16.8,17554.0,0.55,362.0,3.77,-60.24,,,,
238,39,110,16.52,45.99,25.56,61.39,66.62,135.72,256,2.77,1257,0.56,-,-,-,,,,
2025,-16,-32,-0.78,-1.60,-5.02,138.41,43.97,117.52,-55,-43.13,1063,2.23,-,-,-,,,,
5735.0,120.0,107.0,2.08,1.87,5.87,97.5,177.97,769.94,2448.0,11.73,44873.0,0.64,1250.0,4.36,48.12,,,,
2922.0,-238.0,-372.0,-8.14,-12.73,-14.91,150.05,56.68,1163.63,-1946.0,-5.44,12183.0,0.87,95.0,0.9,-4.79,,,,
1951.0,123.0,78.0,6.33,4.02,6.15,68.41,75.27,4215.4,13076.0,11.43,215770.0,0.69,6000.0,4.01,45.89,,,,
6649,133,137,1.99,2.07,0.97,1253.66,,-8.04,51,,4598,-,,,-,,,,
5434,139,21,2.55,0.39,0.21,22.59,293.60,2389.22,25,475.20,12434,0.96,-,-,-,,,,
4068,-52,-145,-1.28,-3.57,-12.05,123.58,59.08,60.14,-604,-8.86,4095,1.31,-,-,-,,,,
1129,31,21,2.73,1.88,8.97,205.35,33.82,62.77,70,18.41,811,1.59,-,-,-,,,,
42844.0,1344.0,-183.0,3.14,-0.43,-3.52,427.42,50.3,801.52,-1625.0,-10.8,40556.0,0.43,500.0,2.85,-31.01,,,,
3303.0,103.0,54.0,3.12,1.63,2.75,71.37,57.57,420.0,143.0,31.33,5200.0,0.86,70.0,1.56,48.95,,,,
1471,198,32,13.45,2.16,,121.95,104.52,27.40,18,44.29,451,1.72,-,-,-,,,,
10875,3593,2789,33.04,25.64,99.21,69.41,202.97,11591.73,7198,,14528,-,,,-,,,,
22607.0,1920.0,1675.0,8.49,7.41,4.34,25.07,162.71,58834.95,122200.0,8.67,3777146.0,0.28,1550.0,0.15,0.96,,,,
29671.0,2764.0,995.0,9.31,3.35,8.38,276.48,94.83,2866.91,1152.0,5.19,16307.0,0.37,150.0,2.51,11.7,,,,
2108,44,-774,2.10,-36.72,-53.17,63.01,50.75,900.27,-3711,-0.74,5163,0.53,-,-,-,,,,
14838.0,899.0,1012.0,6.06,6.82,11.57,71.93,110.35,3174.65,1588.0,29.1,15540.0,2.97,380.0,0.82,24.14,,,,
20351.0,882.0,-424.0,4.34,-2.08,-3.86,216.58,44.52,202.85,-594.0,-48.8,14796.0,1.96,700.0,2.41,-115.48,,,,
